,state,candidate,party_simplified,candidatevotes,totalvotes
4216,Utah,"BIDEN, JOSEPH R. JR",Democrat,560282,1488289
4222,Utah,"TRUMP, DONALD J.",Republican,865140,1488289
4228,Vermont,"BIDEN, JOSEPH R. JR",Democrat,242820,370968
4229,Vermont,"TRUMP, DONALD J.",Republican,112704,370968
4252,Virginia,"BIDEN, JOSEPH R. JR",Democrat,2413568,4460524
4253,Virginia,"TRUMP, DONALD J.",Republican,1962430,4460524
4256,Washington,"BIDEN, JOSEPH R. JR",Democrat,2369612,4087631
4257,Washington,"TRUMP, DONALD J.",Republican,1584651,4087631
4263,West Virginia,"BIDEN, JOSEPH R. JR",Democrat,235984,794652
4264,West Virginia,"TRUMP, DONALD J.",Republican,545382,794652
4267,Wisconsin,"BIDEN, JOSEPH R. JR",Democrat,1630866,3298041
4268,Wisconsin,"TRUMP, DONALD J.",Republican,1610184,3298041
4280,Wyoming,"BIDEN, JOSEPH R. JR",Democrat,73491,278503
4281,Wyoming,"TRUMP, DONALD J.",Republican,193559,278503
