,state,candidate,party_simplified,candidatevotes,totalvotes
3740,Alabama,"BIDEN, JOSEPH R. JR",Democrat,849624,2323282
3741,Alabama,"TRUMP, DONALD J.",Republican,1441170,2323282
3744,Alaska,"BIDEN, JOSEPH R. JR",Democrat,153778,359530
3745,Alaska,"TRUMP, DONALD J.",Republican,189951,359530
3752,Arizona,"BIDEN, JOSEPH R. JR",Democrat,1672143,3387326
3753,Arizona,"TRUMP, DONALD J.",Republican,1661686,3387326
3762,Arkansas,"BIDEN, JOSEPH R. JR",Democrat,423932,1219069
3771,Arkansas,"TRUMP, DONALD J.",Republican,760647,1219069
3773,California,"BIDEN, JOSEPH R. JR",Democrat,11110250,17500881
3774,California,"TRUMP, DONALD J.",Republican,6006429,17500881
3784,Colorado,"BIDEN, JOSEPH R. JR",Democrat,1804352,3279980
3785,Colorado,"TRUMP, DONALD J.",Republican,1364607,3279980
3807,Connecticut,"BIDEN, JOSEPH R. JR",Democrat,1080831,1823857
3808,Connecticut,"TRUMP, DONALD J.",Republican,714717,1823857
3838,Delaware,"BIDEN, JOSEPH R. JR",Democrat,296268,504346
3839,Delaware,"TRUMP, DONALD J.",Republican,200603,504346
3842,District of Columbia,"BIDEN, JOSEPH R. JR",Democrat,317323,344356
3843,District of Columbia,"TRUMP, DONALD J.",Republican,18586,344356
3849,Florida,"BIDEN, JOSEPH R. JR",Democrat,5297045,11067456
3850,Florida,"TRUMP, DONALD J.",Republican,5668731,11067456
3878,Georgia,"BIDEN, JOSEPH R. JR",Democrat,2473633,4999960
3879,Georgia,"TRUMP, DONALD J.",Republican,2461854,4999960
3881,Hawaii,"BIDEN, JOSEPH R. JR",Democrat,366130,579784
3882,Hawaii,"TRUMP, DONALD J.",Republican,196864,579784
3889,Idaho,"BIDEN, JOSEPH R. JR",Democrat,287021,868014
3890,Idaho,"TRUMP, DONALD J.",Republican,554119,868014
3904,Illinois,"BIDEN, JOSEPH R. JR",Democrat,3471915,6033743
3905,Illinois,"TRUMP, DONALD J.",Republican,2446891,6033743
3924,Indiana,"BIDEN, JOSEPH R. JR",Democrat,1242416,3033118
3925,Indiana,"TRUMP, DONALD J.",Republican,1729519,3033118
3938,Iowa,"TRUMP, DONALD J.",Republican,897672,1700130
3939,Iowa,"BIDEN, JOSEPH R. JR",Democrat,759061,1700130
3950,Kansas,"TRUMP, DONALD J.",Republican,771406,1372303
3951,Kansas,"BIDEN, JOSEPH R. JR",Democrat,570323,1372303
3953,Kentucky,"TRUMP, DONALD J.",Republican,1326646,2136768
3954,Kentucky,"BIDEN, JOSEPH R. JR",Democrat,772474,2136768
3968,Louisiana,"BIDEN, JOSEPH R. JR",Democrat,856034,2148062
3970,Louisiana,"TRUMP, DONALD J.",Republican,1255776,2148062
3981,Maine,"BIDEN, JOSEPH R. JR",Democrat,435072,828305
3983,Maine,"TRUMP, DONALD J.",Republican,360737,828305
3988,Maryland,"TRUMP, DONALD J.",Republican,976414,3037030
3989,Maryland,"BIDEN, JOSEPH R. JR",Democrat,1985023,3037030
4014,Massachusetts,"BIDEN, JOSEPH R. JR",Democrat,2382202,3658005
4015,Massachusetts,"TRUMP, DONALD J.",Republican,1167202,3658005
4020,Michigan,"BIDEN, JOSEPH R. JR",Democrat,2804040,5539302
4021,Michigan,"TRUMP, DONALD J.",Republican,2649852,5539302
4031,Minnesota,"TRUMP, DONALD J.",Republican,1484065,3277171
4032,Minnesota,"BIDEN, JOSEPH R. JR",Democrat,1717077,3277171
4041,Mississippi,"BIDEN, JOSEPH R. JR",Democrat,539398,1313759
4042,Mississippi,"TRUMP, DONALD J.",Republican,756764,1313759
4050,Missouri,"TRUMP, DONALD J.",Republican,1718736,3025962
4051,Missouri,"BIDEN, JOSEPH R. JR",Democrat,1253014,3025962
4061,Montana,"TRUMP, DONALD J.",Republican,343602,603674
4062,Montana,"BIDEN, JOSEPH R. JR",Democrat,244786,603674
4067,Nebraska,"TRUMP, DONALD J.",Republican,556846,956383
4068,Nebraska,"BIDEN, JOSEPH R. JR",Democrat,374583,956383
4072,Nevada,"TRUMP, DONALD J.",Republican,669890,1405376
4073,Nevada,"BIDEN, JOSEPH R. JR",Democrat,703486,1405376
4077,New Hampshire,"TRUMP, DONALD J.",Republican,365654,806182
4078,New Hampshire,"BIDEN, JOSEPH R. JR",Democrat,424921,806182
4099,New Jersey,"TRUMP, DONALD J.",Republican,1883274,4549353
4100,New Jersey,"BIDEN, JOSEPH R. JR",Democrat,2608335,4549353
4109,New Mexico,"BIDEN, JOSEPH R. JR",Democrat,501614,923965
4111,New Mexico,"TRUMP, DONALD J.",Republican,401894,923965
4113,New York,"BIDEN, JOSEPH R. JR",Democrat,5230985,8661735
4114,New York,"TRUMP, DONALD J.",Republican,3244798,8661735
4137,North Carolina,"TRUMP, DONALD J.",Republican,2758773,5524802
4138,North Carolina,"BIDEN, JOSEPH R. JR",Democrat,2684292,5524802
4144,North Dakota,"TRUMP, DONALD J.",Republican,235595,361819
4145,North Dakota,"BIDEN, JOSEPH R. JR",Democrat,114902,361819
4148,Ohio,"TRUMP, DONALD J.",Republican,3154834,5922202
4149,Ohio,"BIDEN, JOSEPH R. JR",Democrat,2679165,5922202
4158,Oklahoma,"TRUMP, DONALD J.",Republican,1020280,1560699
4159,Oklahoma,"BIDEN, JOSEPH R. JR",Democrat,503890,1560699
4164,Oregon,"TRUMP, DONALD J.",Republican,958448,2374321
4165,Oregon,"BIDEN, JOSEPH R. JR",Democrat,1340383,2374321
4170,Pennsylvania,"TRUMP, DONALD J.",Republican,3377674,6915283
4171,Pennsylvania,"BIDEN, JOSEPH R. JR",Democrat,3458229,6915283
4173,Rhode Island,"BIDEN, JOSEPH R. JR",Democrat,307486,516990
4174,Rhode Island,"TRUMP, DONALD J.",Republican,199922,516990
4181,South Carolina,"TRUMP, DONALD J.",Republican,1385103,2514096
4184,South Carolina,"BIDEN, JOSEPH R. JR",Democrat,1091541,2514096
4185,South Dakota,"TRUMP, DONALD J.",Republican,261043,422609
4186,South Dakota,"BIDEN, JOSEPH R. JR",Democrat,150471,422609
4188,Tennessee,"TRUMP, DONALD J.",Republican,1852475,3053851
4189,Tennessee,"BIDEN, JOSEPH R. JR",Democrat,1143711,3053851
4201,Texas,"TRUMP, DONALD J.",Republican,5890347,11315056
4202,Texas,"BIDEN, JOSEPH R. JR",Democrat,5259126,11315056
