,state,candidate,party_simplified,candidatevotes,totalvotes
332,Alabama,"REAGAN, RONALD",Republican,654192,1341929
333,Alabama,"CARTER, JIMMY",Democrat,636730,1341929
342,Alaska,"REAGAN, RONALD",Republican,86112,158445
343,Alaska,"CARTER, JIMMY",Democrat,41842,158445
347,Arizona,"REAGAN, RONALD",Republican,529688,873945
348,Arizona,"CARTER, JIMMY",Democrat,246843,873945
355,Arkansas,"REAGAN, RONALD",Republican,403164,837582
356,Arkansas,"CARTER, JIMMY",Democrat,398041,837582
362,California,"REAGAN, RONALD",Republican,4522994,8582938
363,California,"CARTER, JIMMY",Democrat,3082943,8582938
369,Colorado,"REAGAN, RONALD",Republican,652264,1184450
370,Colorado,"CARTER, JIMMY",Democrat,368009,1184450
377,Connecticut,"REAGAN, RONALD",Republican,677210,1406285
378,Connecticut,"CARTER, JIMMY",Democrat,541732,1406285
383,Delaware,"REAGAN, RONALD",Republican,111252,235668
384,Delaware,"CARTER, JIMMY",Democrat,105754,235668
388,District of Columbia,"CARTER, JIMMY",Democrat,130231,173889
389,District of Columbia,"REAGAN, RONALD",Republican,23313,173889
397,Florida,"REAGAN, RONALD",Republican,2046951,3686927
398,Florida,"CARTER, JIMMY",Democrat,1419475,3686927
402,Georgia,"CARTER, JIMMY",Democrat,890955,1596805
403,Georgia,"REAGAN, RONALD",Republican,654168,1596805
406,Hawaii,"CARTER, JIMMY",Democrat,135879,303287
407,Hawaii,"REAGAN, RONALD",Republican,130112,303287
412,Idaho,"REAGAN, RONALD",Republican,290699,437431
413,Idaho,"CARTER, JIMMY",Democrat,110192,437431
417,Illinois,"REAGAN, RONALD",Republican,2358049,4749721
418,Illinois,"CARTER, JIMMY",Democrat,1981413,4749721
426,Indiana,"REAGAN, RONALD",Republican,1255656,2242033
427,Indiana,"CARTER, JIMMY",Democrat,844197,2242033
434,Iowa,"REAGAN, RONALD",Republican,676026,1317661
435,Iowa,"CARTER, JIMMY",Democrat,508672,1317661
445,Kansas,"REAGAN, RONALD",Republican,566812,979795
446,Kansas,"CARTER, JIMMY",Democrat,326150,979795
453,Kentucky,"REAGAN, RONALD",Republican,635274,1295627
454,Kentucky,"CARTER, JIMMY",Democrat,617417,1295627
461,Louisiana,"REAGAN, RONALD",Republican,792853,1548591
462,Louisiana,"CARTER, JIMMY",Democrat,708453,1548591
468,Maine,"REAGAN, RONALD",Republican,238522,523011
469,Maine,"CARTER, JIMMY",Democrat,220974,523011
475,Maryland,"CARTER, JIMMY",Democrat,726161,1540496
476,Maryland,"REAGAN, RONALD",Republican,680606,1540496
479,Massachusetts,"REAGAN, RONALD",Republican,1057631,2524090
480,Massachusetts,"CARTER, JIMMY",Democrat,1053802,2524090
486,Michigan,"REAGAN, RONALD",Republican,1915225,3909725
487,Michigan,"CARTER, JIMMY",Democrat,1661532,3909725
493,Minnesota,"CARTER, JIMMY",Democrat,954173,2051916
494,Minnesota,"REAGAN, RONALD",Republican,873268,2051916
504,Mississippi,"REAGAN, RONALD",Republican,441089,891750
505,Mississippi,"CARTER, JIMMY",Democrat,429281,891750
510,Missouri,"REAGAN, RONALD",Republican,1074181,2099824
511,Missouri,"CARTER, JIMMY",Democrat,931182,2099824
516,Montana,"REAGAN, RONALD",Republican,206814,363952
517,Montana,"CARTER, JIMMY",Democrat,118032,363952
520,Nebraska,"REAGAN, RONALD",Republican,419214,639533
521,Nebraska,"CARTER, JIMMY",Democrat,166424,639533
524,Nevada,"REAGAN, RONALD",Republican,155017,243692
525,Nevada,"CARTER, JIMMY",Democrat,66666,243692
528,New Hampshire,"REAGAN, RONALD",Republican,221705,383990
529,New Hampshire,"CARTER, JIMMY",Democrat,108864,383990
537,New Jersey,"REAGAN, RONALD",Republican,1546557,2975684
538,New Jersey,"CARTER, JIMMY",Democrat,1147364,2975684
550,New Mexico,"REAGAN, RONALD",Republican,250779,456237
551,New Mexico,"CARTER, JIMMY",Democrat,167826,456237
557,New York,"CARTER, JIMMY",Democrat,2728372,6201959
558,New York,"REAGAN, RONALD",Republican,2637700,6201959
568,North Carolina,"REAGAN, RONALD",Republican,915018,1855833
