,state,candidate,party_simplified,candidatevotes,totalvotes
569,North Carolina,"CARTER, JIMMY",Democrat,875635,1855833
574,North Dakota,"REAGAN, RONALD",Republican,193695,301116
575,North Dakota,"CARTER, JIMMY",Democrat,79189,301116
584,Ohio,"REAGAN, RONALD",Republican,2206545,4283603
585,Ohio,"CARTER, JIMMY",Democrat,1752414,4283603
593,Oklahoma,"REAGAN, RONALD",Republican,695570,1149708
594,Oklahoma,"CARTER, JIMMY",Democrat,402026,1149708
597,Oregon,"REAGAN, RONALD",Republican,571044,1181516
598,Oregon,"CARTER, JIMMY",Democrat,456890,1181516
603,Pennsylvania,"REAGAN, RONALD",Republican,2261872,4561501
604,Pennsylvania,"CARTER, JIMMY",Democrat,1937540,4561501
610,Rhode Island,"CARTER, JIMMY",Democrat,198342,415967
611,Rhode Island,"REAGAN, RONALD",Republican,154793,415967
618,South Carolina,"REAGAN, RONALD",Republican,439277,888258
619,South Carolina,"CARTER, JIMMY",Democrat,428220,888258
623,South Dakota,"REAGAN, RONALD",Republican,198343,327703
624,South Dakota,"CARTER, JIMMY",Democrat,103855,327703
628,Tennessee,"REAGAN, RONALD",Republican,787761,1617616
629,Tennessee,"CARTER, JIMMY",Democrat,783051,1617616
639,Texas,"REAGAN, RONALD",Republican,2510705,4541636
640,Texas,"CARTER, JIMMY",Democrat,1881147,4541636
644,Utah,"REAGAN, RONALD",Republican,439687,604152
645,Utah,"CARTER, JIMMY",Democrat,124266,604152
653,Vermont,"REAGAN, RONALD",Republican,94628,213299
654,Vermont,"CARTER, JIMMY",Democrat,81952,213299
662,Virginia,"REAGAN, RONALD",Republican,989609,1866032
663,Virginia,"CARTER, JIMMY",Democrat,752174,1866032
668,Washington,"REAGAN, RONALD",Republican,865244,1742394
669,Washington,"CARTER, JIMMY",Democrat,650193,1742394
677,West Virginia,"CARTER, JIMMY",Democrat,367462,737715
678,West Virginia,"REAGAN, RONALD",Republican,334206,737715
681,Wisconsin,"REAGAN, RONALD",Republican,1088845,2273221
682,Wisconsin,"CARTER, JIMMY",Democrat,981584,2273221
692,Wyoming,"REAGAN, RONALD",Republican,110700,176713
693,Wyoming,"CARTER, JIMMY",Democrat,49427,176713
