,state,candidate,party_simplified,candidatevotes,totalvotes
2411,Alabama,"BUSH, GEORGE W.",Republican,1176394,1883415
2412,Alabama,"KERRY, JOHN",Democrat,693933,1883415
2415,Alaska,"BUSH, GEORGE W.",Republican,190889,312598
2416,Alaska,"KERRY, JOHN",Democrat,111025,312598
2422,Arizona,"BUSH, GEORGE W.",Republican,1104294,2012585
2423,Arizona,"KERRY, JOHN",Democrat,893524,2012585
2426,Arkansas,"BUSH, GEORGE W.",Republican,572898,1054945
2427,Arkansas,"KERRY, JOHN",Democrat,469953,1054945
2432,California,"KERRY, JOHN",Democrat,6745485,12421353
2433,California,"BUSH, GEORGE W.",Republican,5509826,12421353
2439,Colorado,"BUSH, GEORGE W.",Republican,1101255,2129630
2440,Colorado,"KERRY, JOHN",Democrat,1001732,2129630
2451,Connecticut,"KERRY, JOHN",Democrat,857488,1578769
2452,Connecticut,"BUSH, GEORGE W.",Republican,693826,1578769
2458,Delaware,"KERRY, JOHN",Democrat,200152,375190
2459,Delaware,"BUSH, GEORGE W.",Republican,171660,375190
2465,District of Columbia,"KERRY, JOHN",Democrat,202970,227586
2466,District of Columbia,"BUSH, GEORGE W.",Republican,21256,227586
2472,Florida,"BUSH, GEORGE W.",Republican,3964522,7609810
2473,Florida,"KERRY, JOHN",Democrat,3583544,7609810
2480,Georgia,"BUSH, GEORGE W.",Republican,1914254,3301875
2481,Georgia,"KERRY, JOHN",Democrat,1366149,3301875
2484,Hawaii,"KERRY, JOHN",Democrat,231708,429013
2485,Hawaii,"BUSH, GEORGE W.",Republican,194191,429013
2488,Idaho,"BUSH, GEORGE W.",Republican,409235,598376
2489,Idaho,"KERRY, JOHN",Democrat,181098,598376
2493,Illinois,"KERRY, JOHN",Democrat,2891550,5274322
2494,Illinois,"BUSH, GEORGE W.",Republican,2345946,5274322
2497,Indiana,"BUSH, GEORGE W.",Republican,1479438,2468002
2498,Indiana,"KERRY, JOHN",Democrat,969011,2468002
2501,Iowa,"BUSH, GEORGE W.",Republican,751957,1506908
2502,Iowa,"KERRY, JOHN",Democrat,741898,1506908
2509,Kansas,"BUSH, GEORGE W.",Republican,736456,1187756
2510,Kansas,"KERRY, JOHN",Democrat,434993,1187756
2515,Kentucky,"BUSH, GEORGE W.",Republican,1069439,1795882
2516,Kentucky,"KERRY, JOHN",Democrat,712733,1795882
2521,Louisiana,"BUSH, GEORGE W.",Republican,1102169,1943106
2522,Louisiana,"KERRY, JOHN",Democrat,820299,1943106
2530,Maine,"KERRY, JOHN",Democrat,396842,740752
2531,Maine,"BUSH, GEORGE W.",Republican,330201,740752
2537,Maryland,"KERRY, JOHN",Democrat,1334493,2384238
2538,Maryland,"BUSH, GEORGE W.",Republican,1024703,2384238
2544,Maryland,OTHER,Democrat,7,2384238
2545,Massachusetts,"KERRY, JOHN",Democrat,1803800,2927455
2546,Massachusetts,"BUSH, GEORGE W.",Republican,1071109,2927455
2552,Michigan,"KERRY, JOHN",Democrat,2479183,4839252
2553,Michigan,"BUSH, GEORGE W.",Republican,2313746,4839252
2559,Minnesota,"KERRY, JOHN",Democrat,1445014,2828387
2560,Minnesota,"BUSH, GEORGE W.",Republican,1346695,2828387
2569,Mississippi,"BUSH, GEORGE W.",Republican,672660,1139824
2570,Mississippi,"KERRY, JOHN",Democrat,457766,1139824
2576,Missouri,"BUSH, GEORGE W.",Republican,1455713,2731364
2577,Missouri,"KERRY, JOHN",Democrat,1259171,2731364
2581,Montana,"BUSH, GEORGE W.",Republican,266063,450434
2582,Montana,"KERRY, JOHN",Democrat,173710,450434
2587,Nebraska,"BUSH, GEORGE W.",Republican,512814,778186
2588,Nebraska,"KERRY, JOHN",Democrat,254328,778186
2594,Nevada,"BUSH, GEORGE W.",Republican,418690,829587
2595,Nevada,"KERRY, JOHN",Democrat,397190,829587
2601,New Hampshire,"KERRY, JOHN",Democrat,340511,678287
2602,New Hampshire,"BUSH, GEORGE W.",Republican,331237,678287
2606,New Jersey,"KERRY, JOHN",Democrat,1911430,3611691
2607,New Jersey,"BUSH, GEORGE W.",Republican,1670003,3611691
2609,New Mexico,"BUSH, GEORGE W.",Republican,376930,756304
2610,New Mexico,"KERRY, JOHN",Democrat,370942,756304
2615,New York,"KERRY, JOHN",Democrat,4180755,7448266
2616,New York,"BUSH, GEORGE W.",Republican,2806993,7448266
2625,North Carolina,"BUSH, GEORGE W.",Republican,1961166,3501007
2626,North Carolina,"KERRY, JOHN",Democrat,1525849,3501007
2629,North Dakota,"BUSH, GEORGE W.",Republican,196651,312833
2630,North Dakota,"KERRY, JOHN",Democrat,111052,312833
2635,Ohio,"BUSH, GEORGE W.",Republican,2859764,5627903
2636,Ohio,"KERRY, JOHN",Democrat,2741165,5627903
2639,Oklahoma,"BUSH, GEORGE W.",Republican,959792,1463758
2640,Oklahoma,"KERRY, JOHN",Democrat,503966,1463758
2641,Oregon,"KERRY, JOHN",Democrat,943163,1836782
2642,Oregon,"BUSH, GEORGE W.",Republican,866831,1836782
2647,Pennsylvania,"KERRY, JOHN",Democrat,2938095,5769590
2648,Pennsylvania,"BUSH, GEORGE W.",Republican,2793847,5769590
2654,Rhode Island,"KERRY, JOHN",Democrat,259760,437134
2655,Rhode Island,"BUSH, GEORGE W.",Republican,169046,437134
2662,South Carolina,"BUSH, GEORGE W.",Republican,937974,1617700
2663,South Carolina,"KERRY, JOHN",Democrat,661669,1617700
2669,South Dakota,"BUSH, GEORGE W.",Republican,232584,388215
2670,South Dakota,"KERRY, JOHN",Democrat,149244,388215
2674,Tennessee,"BUSH, GEORGE W.",Republican,1384375,2437319
2675,Tennessee,"KERRY, JOHN",Democrat,1036477,2437319
2678,Texas,"BUSH, GEORGE W.",Republican,4526917,7410749
2679,Texas,"KERRY, JOHN",Democrat,2832704,7410749
2682,Utah,"BUSH, GEORGE W.",Republican,663742,927844
2683,Utah,"KERRY, JOHN",Democrat,241199,927844
2690,Vermont,"KERRY, JOHN",Democrat,184067,312309
2691,Vermont,"BUSH, GEORGE W.",Republican,121180,312309
2697,Virginia,"BUSH, GEORGE W.",Republican,1716959,3195415
2698,Virginia,"KERRY, JOHN",Democrat,1454742,3195415
2702,Washington,"KERRY, JOHN",Democrat,1510201,2859084
2703,Washington,"BUSH, GEORGE W.",Republican,1304894,2859084
2711,West Virginia,"BUSH, GEORGE W.",Republican,423778,755792
2712,West Virginia,"KERRY, JOHN",Democrat,326541,755792
2716,Wisconsin,"KERRY, JOHN",Democrat,1489504,2997007
2717,Wisconsin,"BUSH, GEORGE W.",Republican,1478120,2997007
2722,Wyoming,"BUSH, GEORGE W.",Republican,167629,243861
2723,Wyoming,"KERRY, JOHN",Democrat,70776,243861
