,state,candidate,party_detailed,candidatevotes,totalvotes
3209,Maryland,"ROMNEY, MITT",Republican,971869,2707327
3213,Massachusetts,"OBAMA, BARACK H.",Democrat,1921290,3184196
3214,Massachusetts,"ROMNEY, MITT",Republican,1188314,3184196
3219,Michigan,"OBAMA, BARACK H.",Democrat,2564569,4730961
3220,Michigan,"ROMNEY, MITT",Republican,2115256,4730961
3226,Minnesota,"ROMNEY, MITT",Republican,1320225,2936561
3236,Mississippi,"ROMNEY, MITT",Republican,710746,1285584
3237,Mississippi,"OBAMA, BARACK H.",Democrat,562949,1285584
3242,Missouri,"ROMNEY, MITT",Republican,1482440,2757323
3243,Missouri,"OBAMA, BARACK H.",Democrat,1223796,2757323
3246,Montana,"ROMNEY, MITT",Republican,267928,484048
3247,Montana,"OBAMA, BARACK H.",Democrat,201839,484048
3250,Nebraska,"ROMNEY, MITT",Republican,475064,794379
3251,Nebraska,"OBAMA, BARACK H.",Democrat,302081,794379
3255,Nevada,"OBAMA, BARACK H.",Democrat,531373,1014918
3256,Nevada,"ROMNEY, MITT",Republican,463567,1014918
3260,New Hampshire,"OBAMA, BARACK H.",Democrat,369561,710972
3261,New Hampshire,"ROMNEY, MITT",Republican,329918,710972
3266,New Jersey,"OBAMA, BARACK H.",Democrat,2122786,3638499
3267,New Jersey,"ROMNEY, MITT",Republican,1478088,3638499
3276,New Mexico,"OBAMA, BARACK H.",Democrat,415335,783758
3277,New Mexico,"ROMNEY, MITT",Republican,335788,783758
3282,New York,"OBAMA, BARACK H.",Democrat,4324228,7116784
3283,New York,"ROMNEY, MITT",Republican,2223397,7116784
3292,North Carolina,"ROMNEY, MITT",Republican,2270395,4505372
3293,North Carolina,"OBAMA, BARACK H.",Democrat,2178391,4505372
3296,North Dakota,"ROMNEY, MITT",Republican,188320,322932
3297,North Dakota,"OBAMA, BARACK H.",Democrat,124966,322932
3302,Ohio,"OBAMA, BARACK H.",Democrat,2827621,5580822
3303,Ohio,"ROMNEY, MITT",Republican,2661407,5580822
3310,Oklahoma,"ROMNEY, MITT",Republican,891325,1334872
3311,Oklahoma,"OBAMA, BARACK H.",Democrat,443547,1334872
3312,Oregon,"OBAMA, BARACK H.",Democrat,970488,1789270
3313,Oregon,"ROMNEY, MITT",Republican,754175,1789270
3319,Pennsylvania,"OBAMA, BARACK H.",Democrat,2990274,5742040
3320,Pennsylvania,"ROMNEY, MITT",Republican,2680434,5742040
3323,Rhode Island,"OBAMA, BARACK H.",Democrat,279677,446049
3324,Rhode Island,"ROMNEY, MITT",Republican,157204,446049
3331,South Carolina,"ROMNEY, MITT",Republican,1071645,1964118
3332,South Carolina,"OBAMA, BARACK H.",Democrat,865941,1964118
3336,South Dakota,"ROMNEY, MITT",Republican,210610,363815
3337,South Dakota,"OBAMA, BARACK H.",Democrat,145039,363815
3340,Tennessee,"ROMNEY, MITT",Republican,1462330,2458577
3341,Tennessee,"OBAMA, BARACK H.",Democrat,960709,2458577
3345,Texas,"ROMNEY, MITT",Republican,4569843,7993851
3346,Texas,"OBAMA, BARACK H.",Democrat,3308124,7993851
3350,Utah,"ROMNEY, MITT",Republican,740600,1017440
3351,Utah,"OBAMA, BARACK H.",Democrat,251813,1017440
3358,Vermont,"OBAMA, BARACK H.",Democrat,199239,299290
3359,Vermont,"ROMNEY, MITT",Republican,92698,299290
3364,Virginia,"OBAMA, BARACK H.",Democrat,1971820,3854489
3365,Virginia,"ROMNEY, MITT",Republican,1822522,3854489
3370,Washington,"OBAMA, BARACK H.",Democrat,1755396,3125516
3371,Washington,"MITT, ROMNEY",Republican,1290670,3125516
3378,West Virginia,"ROMNEY, MITT",Republican,417655,670438
3379,West Virginia,"OBAMA, BARACK H.",Democrat,238269,670438
3383,Wisconsin,"OBAMA, BARACK H.",Democrat,1620985,3071434
3384,Wisconsin,"ROMNEY, MITT",Republican,1410966,3071434
3388,Wyoming,"ROMNEY, MITT",Republican,170962,250701
3389,Wyoming,"OBAMA, BARACK H.",Democrat,69286,250701
