,state,candidate,party_detailed,candidatevotes,totalvotes
3079,Alabama,"ROMNEY, MITT",Republican,1255925,2074338
3080,Alabama,"OBAMA, BARACK H.",Democrat,795696,2074338
3083,Alaska,"ROMNEY, MITT",Republican,164676,300495
3084,Alaska,"OBAMA, BARACK H.",Democrat,122640,300495
3088,Arizona,"ROMNEY, MITT",Republican,1233654,2299254
3089,Arizona,"OBAMA, BARACK H.",Democrat,1025232,2299254
3093,Arkansas,"ROMNEY, MITT",Republican,647744,1069468
3094,Arkansas,"OBAMA, BARACK H.",Democrat,394409,1069468
3098,California,"OBAMA, BARACK H.",Democrat,7854285,13038547
3099,California,"ROMNEY, MITT",Republican,4839958,13038547
3105,Colorado,"OBAMA, BARACK H.",Democrat,1323101,2569516
3106,Colorado,"ROMNEY, MITT",Republican,1185243,2569516
3121,Connecticut,"OBAMA, BARACK H.",Democrat,905083,1558204
3122,Connecticut,"ROMNEY, MITT",Republican,634892,1558204
3126,Delaware,"OBAMA, BARACK H.",Democrat,242584,413890
3127,Delaware,"ROMNEY, MITT",Republican,165484,413890
3130,District of Columbia,"OBAMA, BARACK H.",Democrat,267070,293764
3131,District of Columbia,"ROMNEY, MITT",Republican,21381,293764
3135,Florida,"OBAMA, BARACK H.",Democrat,4237756,8474179
3136,Florida,"ROMNEY, MITT",Republican,4163447,8474179
3148,Georgia,"ROMNEY, MITT",Republican,2078688,3897839
3149,Georgia,"OBAMA, BARACK H.",Democrat,1773827,3897839
3151,Hawaii,"OBAMA, BARACK H.",Democrat,306658,437159
3152,Hawaii,"ROMNEY, MITT",Republican,121015,437159
3157,Idaho,"ROMNEY, MITT",Republican,420911,652274
3158,Idaho,"OBAMA, BARACK H.",Democrat,212787,652274
3162,Illinois,"OBAMA, BARACK H.",Democrat,3019512,5242014
3163,Illinois,"ROMNEY, MITT",Republican,2135216,5242014
3167,Indiana,"ROMNEY, MITT",Republican,1420543,2624534
3168,Indiana,"OBAMA, BARACK H.",Democrat,1152887,2624534
3171,Iowa,"OBAMA, BARACK H.",Democrat,822544,1582180
3172,Iowa,"ROMNEY, MITT",Republican,730617,1582180
3180,Kansas,"ROMNEY, MITT",Republican,692634,1159971
3181,Kansas,"OBAMA, BARACK H.",Democrat,440726,1159971
3185,Kentucky,"ROMNEY, MITT",Republican,1087190,1797212
3186,Kentucky,"OBAMA, BARACK H.",Democrat,679370,1797212
3191,Louisiana,"ROMNEY, MITT",Republican,1152262,1994065
3192,Louisiana,"OBAMA, BARACK H.",Democrat,809141,1994065
3202,Maine,"OBAMA, BARACK H.",Democrat,401306,724758
3203,Maine,"ROMNEY, MITT",Republican,292276,724758
3208,Maryland,"OBAMA, BARACK H.",Democrat,1677844,2707327
