,state,candidate,party_simplified,candidatevotes,totalvotes
696,Alabama,"REAGAN, RONALD",Republican,872849,1441713
697,Alabama,"MONDALE, WALTER",Democrat,551899,1441713
703,Alaska,"REAGAN, RONALD",Republican,138377,207605
704,Alaska,"MONDALE, WALTER",Democrat,62007,207605
707,Arizona,"REAGAN, RONALD",Republican,681416,1025897
708,Arizona,"MONDALE, WALTER",Democrat,333854,1025897
711,Arkansas,"REAGAN, RONALD",Republican,534774,884406
712,Arkansas,"MONDALE, WALTER",Democrat,338646,884406
721,California,"REAGAN, RONALD",Republican,5467009,9505041
722,California,"MONDALE, WALTER",Democrat,3922519,9505041
726,Colorado,"REAGAN, RONALD",Republican,821817,1295380
727,Colorado,"MONDALE, WALTER",Democrat,454975,1295380
734,Connecticut,"REAGAN, RONALD",Republican,890877,1466900
735,Connecticut,"MONDALE, WALTER",Democrat,569597,1466900
739,Delaware,"REAGAN, RONALD",Republican,152190,254572
740,Delaware,"MONDALE, WALTER",Democrat,101656,254572
745,District of Columbia,"MONDALE, WALTER",Democrat,180408,211288
746,District of Columbia,"REAGAN, RONALD",Republican,29009,211288
754,Florida,"REAGAN, RONALD",Republican,2730350,4180051
755,Florida,"MONDALE, WALTER",Democrat,1448816,4180051
757,Georgia,"REAGAN, RONALD",Republican,1068722,1776103
758,Georgia,"MONDALE, WALTER",Democrat,706628,1776103
760,Hawaii,"REAGAN, RONALD",Republican,185050,335846
761,Hawaii,"MONDALE, WALTER",Democrat,147154,335846
765,Idaho,"REAGAN, RONALD",Republican,297523,411144
766,Idaho,"MONDALE, WALTER",Democrat,108510,411144
769,Illinois,"REAGAN, RONALD",Republican,2707103,4819088
770,Illinois,"MONDALE, WALTER",Democrat,2086499,4819088
778,Indiana,"REAGAN, RONALD",Republican,1377230,2233069
779,Indiana,"MONDALE, WALTER",Democrat,841481,2233069
782,Iowa,"REAGAN, RONALD",Republican,703088,1319805
783,Iowa,"MONDALE, WALTER",Democrat,605620,1319805
791,Kansas,"REAGAN, RONALD",Republican,677296,1021991
792,Kansas,"MONDALE, WALTER",Democrat,333149,1021991
797,Kentucky,"REAGAN, RONALD",Republican,821702,1369345
798,Kentucky,"MONDALE, WALTER",Democrat,539539,1369345
806,Louisiana,"REAGAN, RONALD",Republican,1037299,1706822
807,Louisiana,"MONDALE, WALTER",Democrat,651586,1706822
814,Maine,"REAGAN, RONALD",Republican,336500,553144
815,Maine,"MONDALE, WALTER",Democrat,214515,553144
819,Maryland,"REAGAN, RONALD",Republican,879918,1675873
820,Maryland,"MONDALE, WALTER",Democrat,787935,1675873
825,Massachusetts,"REAGAN, RONALD",Republican,1310936,2559383
826,Massachusetts,"MONDALE, WALTER",Democrat,1239606,2559383
829,Michigan,"REAGAN, RONALD",Republican,2251571,3801658
830,Michigan,"MONDALE, WALTER",Democrat,1529638,3801658
840,Minnesota,"MONDALE, WALTER",Democrat,1036364,2084449
841,Minnesota,"REAGAN, RONALD",Republican,1032603,2084449
851,Mississippi,"REAGAN, RONALD",Republican,582377,941104
852,Mississippi,"MONDALE, WALTER",Democrat,352192,941104
859,Missouri,"REAGAN, RONALD",Republican,1274188,2122771
860,Missouri,"MONDALE, WALTER",Democrat,848583,2122771
861,Montana,"REAGAN, RONALD",Republican,232450,384377
862,Montana,"MONDALE, WALTER",Democrat,146742,384377
864,Nebraska,"REAGAN, RONALD",Republican,460054,652090
865,Nebraska,"MONDALE, WALTER",Democrat,187866,652090
869,Nevada,"REAGAN, RONALD",Republican,188770,282717
870,Nevada,"MONDALE, WALTER",Democrat,91655,282717
872,New Hampshire,"REAGAN, RONALD",Republican,267050,388904
873,New Hampshire,"MONDALE, WALTER",Democrat,120347,388904
