,state,candidate,party_simplified,candidatevotes,totalvotes
877,New Jersey,"REAGAN, RONALD",Republican,1933630,3217862
878,New Jersey,"MONDALE, WALTER",Democrat,1261323,3217862
886,New Mexico,"REAGAN, RONALD",Republican,307101,514370
887,New Mexico,"MONDALE, WALTER",Democrat,201769,514370
894,New York,"REAGAN, RONALD",Republican,3376519,6806810
895,New York,"MONDALE, WALTER",Democrat,3001285,6806810
903,North Carolina,"REAGAN, RONALD",Republican,1346481,2175361
904,North Carolina,"MONDALE, WALTER",Democrat,824287,2175361
907,North Dakota,"REAGAN, RONALD",Republican,200336,308971
908,North Dakota,"MONDALE, WALTER",Democrat,104429,308971
917,Ohio,"REAGAN, RONALD",Republican,2678559,4563235
918,Ohio,"MONDALE, WALTER",Democrat,1825440,4563235
926,Oklahoma,"REAGAN, RONALD",Republican,861530,1255676
927,Oklahoma,"MONDALE, WALTER",Democrat,385080,1255676
929,Oregon,"REAGAN, RONALD",Republican,685700,1226527
930,Oregon,"MONDALE, WALTER",Democrat,536479,1226527
932,Pennsylvania,"REAGAN, RONALD",Republican,2584323,4844903
933,Pennsylvania,"MONDALE, WALTER",Democrat,2228131,4844903
938,Rhode Island,"REAGAN, RONALD",Republican,212080,410489
939,Rhode Island,"MONDALE, WALTER",Democrat,197106,410489
947,South Carolina,"REAGAN, RONALD",Republican,615539,968529
948,South Carolina,"MONDALE, WALTER",Democrat,344459,968529
952,South Dakota,"REAGAN, RONALD",Republican,200267,317867
953,South Dakota,"MONDALE, WALTER",Democrat,116113,317867
956,Tennessee,"REAGAN, RONALD",Republican,990212,1711993
957,Tennessee,"MONDALE, WALTER",Democrat,711714,1711993
966,Texas,"REAGAN, RONALD",Republican,3433428,5397571
967,Texas,"MONDALE, WALTER",Democrat,1949276,5397571
970,Utah,"REAGAN, RONALD",Republican,469105,629656
971,Utah,"MONDALE, WALTER",Democrat,155369,629656
978,Vermont,"REAGAN, RONALD",Republican,135865,234561
979,Vermont,"MONDALE, WALTER",Democrat,95730,234561
987,Virginia,"REAGAN, RONALD",Republican,1337078,2146635
988,Virginia,"MONDALE, WALTER",Democrat,796250,2146635
990,Washington,"REAGAN, RONALD",Republican,1051670,1874910
991,Washington,"MONDALE, WALTER",Democrat,798352,1874910
1000,West Virginia,"REAGAN, RONALD",Republican,405483,735742
1001,West Virginia,"MONDALE, WALTER",Democrat,328125,735742
1005,Wisconsin,"REAGAN, RONALD",Republican,1198584,2211689
1006,Wisconsin,"MONDALE, WALTER",Democrat,995740,2211689
1016,Wyoming,"REAGAN, RONALD",Republican,133241,188968
1017,Wyoming,"MONDALE, WALTER",Democrat,53370,188968
