,state,candidate,party_detailed,candidatevotes,totalvotes
1602,South Dakota,"CLINTON, BILL",Democrat,124888,336254
1606,Tennessee,"CLINTON, BILL",Democrat,933521,1982638
1607,Tennessee,"BUSH, GEORGE H.W.",Republican,841300,1982638
1611,Texas,"BUSH, GEORGE H.W.",Republican,2496071,6154018
1612,Texas,"CLINTON, BILL",Democrat,2281815,6154018
1616,Utah,"BUSH, GEORGE H.W.",Republican,322632,743998
1618,Utah,"CLINTON, BILL",Democrat,183429,743998
1629,Vermont,"CLINTON, BILL",Democrat,133592,289701
1630,Vermont,"BUSH, GEORGE H.W.",Republican,88122,289701
1640,Virginia,"BUSH, GEORGE H.W.",Republican,1150517,2559129
1641,Virginia,"CLINTON, BILL",Democrat,1038650,2559129
1646,Washington,"CLINTON, BILL",Democrat,993037,2287565
1647,Washington,"BUSH, GEORGE H.W.",Republican,731234,2287565
1656,West Virginia,"CLINTON, BILL",Democrat,331001,683677
1657,West Virginia,"BUSH, GEORGE H.W.",Republican,241974,683677
1660,Wisconsin,"CLINTON, BILL",Democrat,1041066,2531064
1661,Wisconsin,"BUSH, GEORGE H.W.",Republican,930855,2531064
1669,Wyoming,"BUSH, GEORGE H.W.",Republican,79347,199884
1670,Wyoming,"CLINTON, BILL",Democrat,68160,199884
