,state,candidate,party_detailed,candidatevotes,totalvotes
0,Alabama,"CARTER, JIMMY",Democrat,659170,1182850
1,Alabama,"FORD, GERALD",Republican,504070,1182850
7,Alaska,"FORD, GERALD",Republican,71555,123574
8,Alaska,"CARTER, JIMMY",Democrat,44058,123574
11,Arizona,"FORD, GERALD",Republican,418642,742719
12,Arizona,"CARTER, JIMMY",Democrat,295602,742719
19,Arkansas,"CARTER, JIMMY",Democrat,498604,767535
20,Arkansas,"FORD, GERALD",Republican,267903,767535
23,California,"FORD, GERALD",Republican,3882244,7803770
24,California,"CARTER, JIMMY",Democrat,3742284,7803770
30,Colorado,"FORD, GERALD",Republican,584278,1081440
31,Colorado,"CARTER, JIMMY",Democrat,460801,1081440
38,Connecticut,"FORD, GERALD",Republican,719261,1386355
39,Connecticut,"CARTER, JIMMY",Democrat,647895,1386355
43,Delaware,"CARTER, JIMMY",Democrat,122461,235642
44,Delaware,"FORD, GERALD",Republican,109780,235642
50,District of Columbia,"CARTER, JIMMY",Democrat,137818,168830
51,District of Columbia,"FORD, GERALD",Republican,27873,168830
55,Florida,"CARTER, JIMMY",Democrat,1636000,3150631
56,Florida,"FORD, GERALD",Republican,1469531,3150631
60,Georgia,"CARTER, JIMMY",Democrat,979409,1463152
61,Georgia,"FORD, GERALD",Republican,483743,1463152
62,Hawaii,"CARTER, JIMMY",Democrat,147375,291301
63,Hawaii,"FORD, GERALD",Republican,140003,291301
65,Idaho,"FORD, GERALD",Republican,204151,340932
66,Idaho,"CARTER, JIMMY",Democrat,126549,340932
70,Illinois,"FORD, GERALD",Republican,2364269,4721282
71,Illinois,"CARTER, JIMMY",Democrat,2271295,4721282
79,Indiana,"FORD, GERALD",Republican,1183958,2220362
80,Indiana,"CARTER, JIMMY",Democrat,1014714,2220362
84,Iowa,"FORD, GERALD",Republican,632864,1279303
85,Iowa,"CARTER, JIMMY",Democrat,619931,1279303
95,Kansas,"FORD, GERALD",Republican,502752,957845
96,Kansas,"CARTER, JIMMY",Democrat,430421,957845
102,Kentucky,"CARTER, JIMMY",Democrat,615717,1167142
103,Kentucky,"FORD, GERALD",Republican,531852,1167142
111,Louisiana,"CARTER, JIMMY",Democrat,661365,1277383
112,Louisiana,"FORD, GERALD",Republican,587446,1277383
118,Maine,"FORD, GERALD",Republican,236320,482968
119,Maine,"CARTER, JIMMY",Democrat,232279,482968
122,Maryland,"CARTER, JIMMY",Democrat,759612,1432273
123,Maryland,"FORD, GERALD",Republican,672661,1432273
124,Massachusetts,"CARTER, JIMMY",Democrat,1429475,2547558
125,Massachusetts,"FORD, GERALD",Republican,1030276,2547558
133,Michigan,"FORD, GERALD",Republican,1893742,3651590
134,Michigan,"CARTER, JIMMY",Democrat,1696714,3651590
141,Minnesota,"CARTER, JIMMY",Democrat,1070440,1949931
142,Minnesota,"FORD, GERALD",Republican,819395,1949931
153,Mississippi,"CARTER, JIMMY",Democrat,381329,768390
154,Mississippi,"FORD, GERALD",Republican,366846,768390
160,Missouri,"CARTER, JIMMY",Democrat,998387,1953600
161,Missouri,"FORD, GERALD",Republican,927443,1953600
164,Montana,"FORD, GERALD",Republican,173703,328734
165,Montana,"CARTER, JIMMY",Democrat,149259,328734
167,Nebraska,"FORD, GERALD",Republican,359219,606749
168,Nebraska,"CARTER, JIMMY",Democrat,233293,606749
172,Nevada,"FORD, GERALD",Republican,101273,201876
173,Nevada,"CARTER, JIMMY",Democrat,92479,201876
177,New Hampshire,"FORD, GERALD",Republican,185935,339627
178,New Hampshire,"CARTER, JIMMY",Democrat,147645,339627
185,New Jersey,"FORD, GERALD",Republican,1509688,3014472
186,New Jersey,"CARTER, JIMMY",Democrat,1444653,3014472
197,New Mexico,"FORD, GERALD",Republican,211419,416590
198,New Mexico,"CARTER, JIMMY",Democrat,201148,416590
203,New York,"CARTER, JIMMY",Democrat,3244165,6668262
204,New York,"FORD, GERALD",Republican,2825913,6668262
212,North Carolina,"CARTER, JIMMY",Democrat,927365,1677906
213,North Carolina,"FORD, GERALD",Republican,741960,1677906
217,North Dakota,"FORD, GERALD",Republican,153684,297308
218,North Dakota,"CARTER, JIMMY",Democrat,136078,297308
228,Ohio,"CARTER, JIMMY",Democrat,2009959,4110456
229,Ohio,"FORD, GERALD",Republican,2000626,4110456
238,Oklahoma,"FORD, GERALD",Republican,545708,1092251
239,Oklahoma,"CARTER, JIMMY",Democrat,532442,1092251
241,Oregon,"FORD, GERALD",Republican,492120,1029876
242,Oregon,"CARTER, JIMMY",Democrat,490407,1029876
246,Pennsylvania,"CARTER, JIMMY",Democrat,2328677,4620787
247,Pennsylvania,"FORD, GERALD",Republican,2205604,4620787
254,Rhode Island,"CARTER, JIMMY",Democrat,227636,410584
255,Rhode Island,"FORD, GERALD",Republican,181249,410584
260,South Carolina,"CARTER, JIMMY",Democrat,450807,802583
261,South Carolina,"FORD, GERALD",Republican,346149,802583
265,South Dakota,"FORD, GERALD",Republican,151505,300678
266,South Dakota,"CARTER, JIMMY",Democrat,147068,300678
270,Tennessee,"CARTER, JIMMY",Democrat,825879,1476346
271,Tennessee,"FORD, GERALD",Republican,633969,1476346
281,Texas,"CARTER, JIMMY",Democrat,2082319,4071884
282,Texas,"FORD, GERALD",Republican,1953300,4071884
287,Utah,"FORD, GERALD",Republican,337908,541218
288,Utah,"CARTER, JIMMY",Democrat,182110,541218
295,Vermont,"FORD, GERALD",Republican,100387,183902
296,Vermont,"CARTER, JIMMY",Democrat,77798,183902
301,Virginia,"FORD, GERALD",Republican,836554,1697094
302,Virginia,"CARTER, JIMMY",Democrat,813896,1697094
307,Washington,"FORD, GERALD",Republican,777732,1555534
308,Washington,"CARTER, JIMMY",Democrat,717323,1555534
318,West Virginia,"CARTER, JIMMY",Democrat,435864,750590
319,West Virginia,"FORD, GERALD",Republican,314726,750590
320,Wisconsin,"CARTER, JIMMY",Democrat,1040232,2101336
321,Wisconsin,"FORD, GERALD",Republican,1004987,2101336
329,Wyoming,"FORD, GERALD",Republican,92717,156343
330,Wyoming,"CARTER, JIMMY",Democrat,62239,156343
