,state,candidate,party_simplified,candidatevotes,totalvotes
1019,Alabama,"BUSH, GEORGE H.W.",Republican,815576,1378476
1020,Alabama,"DUKAKIS, MICHAEL",Democrat,549506,1378476
1024,Alaska,"BUSH, GEORGE H.W.",Republican,119251,200116
1025,Alaska,"DUKAKIS, MICHAEL",Democrat,72584,200116
1030,Arizona,"BUSH, GEORGE H.W.",Republican,702541,1171873
1031,Arizona,"DUKAKIS, MICHAEL",Democrat,454029,1171873
1035,Arkansas,"BUSH, GEORGE H.W.",Republican,466578,827738
1036,Arkansas,"DUKAKIS, MICHAEL",Democrat,349237,827738
1041,California,"BUSH, GEORGE H.W.",Republican,5054917,9887065
1042,California,"DUKAKIS, MICHAEL",Democrat,4702233,9887065
1046,Colorado,"BUSH, GEORGE H.W.",Republican,728177,1372394
1047,Colorado,"DUKAKIS, MICHAEL",Democrat,621453,1372394
1052,Connecticut,"BUSH, GEORGE H.W.",Republican,750241,1443394
1053,Connecticut,"DUKAKIS, MICHAEL",Democrat,676584,1443394
1057,Delaware,"BUSH, GEORGE H.W.",Republican,139639,249891
1058,Delaware,"DUKAKIS, MICHAEL",Democrat,108647,249891
1061,District of Columbia,"DUKAKIS, MICHAEL",Democrat,159407,192877
1062,District of Columbia,"BUSH, GEORGE H.W.",Republican,27590,192877
1070,Florida,"BUSH, GEORGE H.W.",Republican,2618885,4302313
1071,Florida,"DUKAKIS, MICHAEL",Democrat,1656701,4302313
1075,Georgia,"BUSH, GEORGE H.W.",Republican,1081331,1809672
1076,Georgia,"DUKAKIS, MICHAEL",Democrat,714792,1809672
1080,Hawaii,"DUKAKIS, MICHAEL",Democrat,192364,354461
1081,Hawaii,"BUSH, GEORGE H.W.",Republican,158625,354461
1085,Idaho,"BUSH, GEORGE H.W.",Republican,253881,408968
1086,Idaho,"DUKAKIS, MICHAEL",Democrat,147272,408968
1089,Illinois,"BUSH, GEORGE H.W.",Republican,2310939,4559120
1090,Illinois,"DUKAKIS, MICHAEL",Democrat,2215940,4559120
1094,Indiana,"BUSH, GEORGE H.W.",Republican,1297763,2168621
1095,Indiana,"DUKAKIS, MICHAEL",Democrat,860643,2168621
1097,Iowa,"DUKAKIS, MICHAEL",Democrat,670557,1225614
1098,Iowa,"BUSH, GEORGE H.W.",Republican,545355,1225614
1107,Kansas,"BUSH, GEORGE H.W.",Republican,554049,993044
1108,Kansas,"DUKAKIS, MICHAEL",Democrat,422636,993044
1110,Kentucky,"BUSH, GEORGE H.W.",Republican,734281,1322517
1111,Kentucky,"DUKAKIS, MICHAEL",Democrat,580368,1322517
1115,Louisiana,"BUSH, GEORGE H.W.",Republican,883702,1628202
1116,Louisiana,"DUKAKIS, MICHAEL",Democrat,717460,1628202
1121,Maine,"BUSH, GEORGE H.W.",Republican,307131,555035
1122,Maine,"DUKAKIS, MICHAEL",Democrat,243569,555035
1126,Maryland,"BUSH, GEORGE H.W.",Republican,876167,1714358
1127,Maryland,"DUKAKIS, MICHAEL",Democrat,826304,1714358
1131,Massachusetts,"DUKAKIS, MICHAEL",Democrat,1401415,2632801
1132,Massachusetts,"BUSH, GEORGE H.W.",Republican,1194635,2632801
1136,Michigan,"BUSH, GEORGE H.W.",Republican,1965486,3669163
1137,Michigan,"DUKAKIS, MICHAEL",Democrat,1675783,3669163
1141,Minnesota,"DUKAKIS, MICHAEL",Democrat,1109471,2096790
1142,Minnesota,"BUSH, GEORGE H.W.",Republican,962337,2096790
1153,Mississippi,"BUSH, GEORGE H.W.",Republican,557890,931527
1154,Mississippi,"DUKAKIS, MICHAEL",Democrat,363921,931527
1157,Missouri,"BUSH, GEORGE H.W.",Republican,1084953,2093228
1158,Missouri,"DUKAKIS, MICHAEL",Democrat,1001619,2093228
1160,Montana,"BUSH, GEORGE H.W.",Republican,190412,365674
1161,Montana,"DUKAKIS, MICHAEL",Democrat,168936,365674
1164,Nebraska,"BUSH, GEORGE H.W.",Republican,397956,661465
1165,Nebraska,"DUKAKIS, MICHAEL",Democrat,259235,661465
1168,Nevada,"BUSH, GEORGE H.W.",Republican,206040,343133
1169,Nevada,"DUKAKIS, MICHAEL",Democrat,132738,343133
1172,New Hampshire,"BUSH, GEORGE H.W.",Republican,281537,450525
1173,New Hampshire,"DUKAKIS, MICHAEL",Democrat,163696,450525
1176,New Jersey,"BUSH, GEORGE H.W.",Republican,1743192,3099553
1177,New Jersey,"DUKAKIS, MICHAEL",Democrat,1320352,3099553
1187,New Mexico,"BUSH, GEORGE H.W.",Republican,270341,521387
1188,New Mexico,"DUKAKIS, MICHAEL",Democrat,244497,521387
1195,New York,"DUKAKIS, MICHAEL",Democrat,3255487,6485683
1196,New York,"BUSH, GEORGE H.W.",Republican,2838414,6485683
1205,North Carolina,"BUSH, GEORGE H.W.",Republican,1237258,2134370
1206,North Carolina,"DUKAKIS, MICHAEL",Democrat,890167,2134370
1209,North Dakota,"BUSH, GEORGE H.W.",Republican,166559,297261
1210,North Dakota,"DUKAKIS, MICHAEL",Democrat,127739,297261
1215,Ohio,"BUSH, GEORGE H.W.",Republican,2416549,4393585
1216,Ohio,"DUKAKIS, MICHAEL",Democrat,1939629,4393585
1222,Oklahoma,"BUSH, GEORGE H.W.",Republican,678367,1171036
1223,Oklahoma,"DUKAKIS, MICHAEL",Democrat,483423,1171036
1226,Oregon,"DUKAKIS, MICHAEL",Democrat,616206,1201694
1227,Oregon,"BUSH, GEORGE H.W.",Republican,560126,1201694
1231,Pennsylvania,"BUSH, GEORGE H.W.",Republican,2300087,4536251
1232,Pennsylvania,"DUKAKIS, MICHAEL",Democrat,2194944,4536251
1238,Rhode Island,"DUKAKIS, MICHAEL",Democrat,225123,404622
1239,Rhode Island,"BUSH, GEORGE H.W.",Republican,177761,404622
1247,South Carolina,"BUSH, GEORGE H.W.",Republican,606443,986009
1248,South Carolina,"DUKAKIS, MICHAEL",Democrat,370554,986009
1251,South Dakota,"BUSH, GEORGE H.W.",Republican,165415,312991
1252,South Dakota,"DUKAKIS, MICHAEL",Democrat,145560,312991
1254,Tennessee,"BUSH, GEORGE H.W.",Republican,947233,1636250
1255,Tennessee,"DUKAKIS, MICHAEL",Democrat,679794,1636250
1258,Texas,"BUSH, GEORGE H.W.",Republican,3036829,5427410
1259,Texas,"DUKAKIS, MICHAEL",Democrat,2352748,5427410
1263,Utah,"BUSH, GEORGE H.W.",Republican,428442,647008
1264,Utah,"DUKAKIS, MICHAEL",Democrat,207343,647008
1272,Vermont,"BUSH, GEORGE H.W.",Republican,124331,243328
1273,Vermont,"DUKAKIS, MICHAEL",Democrat,115775,243328
1282,Virginia,"BUSH, GEORGE H.W.",Republican,1309162,2191609
1283,Virginia,"DUKAKIS, MICHAEL",Democrat,859799,2191609
1286,Washington,"DUKAKIS, MICHAEL",Democrat,933516,1865253
1287,Washington,"BUSH, GEORGE H.W.",Republican,903835,1865253
1293,West Virginia,"DUKAKIS, MICHAEL",Democrat,341016,653311
1294,West Virginia,"BUSH, GEORGE H.W.",Republican,310065,653311
1296,Wisconsin,"DUKAKIS, MICHAEL",Democrat,1126794,2191608
1297,Wisconsin,"BUSH, GEORGE H.W.",Republican,1047499,2191608
1300,Wyoming,"BUSH, GEORGE H.W.",Republican,106867,176551
1301,Wyoming,"DUKAKIS, MICHAEL",Democrat,67113,176551
