,state,candidate,party_detailed,candidatevotes,totalvotes
2846,Kansas,"MCCAIN, JOHN",Republican,699655,1235872
2847,Kansas,"OBAMA, BARACK H.",Democrat,514765,1235872
2851,Kentucky,"MCCAIN, JOHN",Republican,1048462,1826620
2852,Kentucky,"OBAMA, BARACK H.",Democrat,751985,1826620
2857,Louisiana,"MCCAIN, JOHN",Republican,1148275,1960761
2858,Louisiana,"OBAMA, BARACK H.",Democrat,782989,1960761
2866,Maine,"OBAMA, BARACK H.",Democrat,421923,731163
2867,Maine,"MCCAIN, JOHN",Republican,295273,731163
2871,Maryland,"OBAMA, BARACK H.",Democrat,1629467,2631596
2872,Maryland,"MCCAIN, JOHN",Republican,959862,2631596
2878,Massachusetts,"OBAMA, BARACK H.",Democrat,1904097,3102995
2879,Massachusetts,"MCCAIN, JOHN",Republican,1108854,3102995
2886,Michigan,"OBAMA, BARACK H.",Democrat,2872579,5001596
2887,Michigan,"MCCAIN, JOHN",Republican,2048639,5001596
2892,Minnesota,"OBAMA, BARACK H.",Democrat,1573354,2910369
2893,Minnesota,"MCCAIN, JOHN",Republican,1275409,2910369
2900,Mississippi,"MCCAIN, JOHN",Republican,724597,1289865
2901,Mississippi,"OBAMA, BARACK H.",Democrat,554662,1289865
2907,Missouri,"MCCAIN, JOHN",Republican,1445814,2925205
2908,Missouri,"OBAMA, BARACK H.",Democrat,1441911,2925205
2913,Montana,"MCCAIN, JOHN",Republican,242763,490109
2914,Montana,"OBAMA, BARACK H.",Democrat,231667,490109
2918,Nebraska,"MCCAIN, JOHN",Republican,452979,801281
2919,Nebraska,"OBAMA, BARACK H.",Democrat,333319,801281
2925,Nevada,"OBAMA, BARACK H.",Democrat,533736,967848
2926,Nevada,"MCCAIN, JOHN",Republican,412827,967848
2932,New Hampshire,"OBAMA, BARACK H.",Democrat,384826,710970
2933,New Hampshire,"MCCAIN, JOHN",Republican,316534,710970
2937,New Jersey,"OBAMA, BARACK H.",Democrat,2215422,3868237
2938,New Jersey,"MCCAIN, JOHN",Republican,1613207,3868237
2947,New Mexico,"OBAMA, BARACK H.",Democrat,472422,830158
2948,New Mexico,"MCCAIN, JOHN",Republican,346832,830158
2953,New York,"OBAMA, BARACK H.",Democrat,4645332,7722019
2954,New York,"MCCAIN, JOHN",Republican,2418323,7722019
2965,North Carolina,"OBAMA, BARACK H.",Democrat,2142651,4310851
2966,North Carolina,"MCCAIN, JOHN",Republican,2128474,4310851
2970,North Dakota,"MCCAIN, JOHN",Republican,168601,316621
2971,North Dakota,"OBAMA, BARACK H.",Democrat,141278,316621
2975,Ohio,"OBAMA, BARACK H.",Democrat,2940044,5708350
2976,Ohio,"MCCAIN, JOHN",Republican,2677820,5708350
2983,Oklahoma,"MCCAIN, JOHN",Republican,960165,1462661
2984,Oklahoma,"OBAMA, BARACK H.",Democrat,502496,1462661
2985,Oregon,"OBAMA, BARACK H.",Democrat,1037291,1827864
2986,Oregon,"MCCAIN, JOHN",Republican,738475,1827864
2992,Pennsylvania,"OBAMA, BARACK H.",Democrat,3276363,6013272
2993,Pennsylvania,"MCCAIN, JOHN",Republican,2655885,6013272
2998,Rhode Island,"OBAMA, BARACK H.",Democrat,296571,471766
2999,Rhode Island,"MCCAIN, JOHN",Republican,165391,471766
3006,South Carolina,"MCCAIN, JOHN",Republican,1034896,1920969
3007,South Carolina,"OBAMA, BARACK H.",Democrat,862449,1920969
3012,South Dakota,"MCCAIN, JOHN",Republican,203054,381975
3013,South Dakota,"OBAMA, BARACK H.",Democrat,170924,381975
3017,Tennessee,"MCCAIN, JOHN",Republican,1479178,2599749
3018,Tennessee,"OBAMA, BARACK H.",Democrat,1087437,2599749
3020,Texas,"MCCAIN, JOHN",Republican,4479328,8077795
3021,Texas,"OBAMA, BARACK H.",Democrat,3528633,8077795
3025,Utah,"MCCAIN, JOHN",Republican,596030,952370
3026,Utah,"OBAMA, BARACK H.",Democrat,327670,952370
3033,Vermont,"OBAMA, BARACK H.",Democrat,219262,325046
3034,Vermont,"MCCAIN, JOHN",Republican,98974,325046
3042,Virginia,"OBAMA, BARACK H.",Democrat,1959532,3723260
3043,Virginia,"MCCAIN, JOHN",Republican,1725005,3723260
3049,Washington,"OBAMA, BARACK H.",Democrat,1750848,3036878
3050,Washington,"MCCAIN, JOHN",Republican,1229216,3036878
3057,West Virginia,"MCCAIN, JOHN",Republican,397466,713451
3058,West Virginia,"OBAMA, BARACK H.",Democrat,303857,713451
3063,Wisconsin,"OBAMA, BARACK H.",Democrat,1677211,2983417
3064,Wisconsin,"MCCAIN, JOHN",Republican,1262393,2983417
3073,Wyoming,"MCCAIN, JOHN",Republican,164958,254904
3074,Wyoming,"OBAMA, BARACK H.",Democrat,82868,254904
