,state,candidate,party_detailed,candidatevotes,totalvotes
2728,Alabama,"MCCAIN, JOHN",Republican,1266546,2099819
2729,Alabama,"OBAMA, BARACK H.",Democrat,813479,2099819
2732,Alaska,"MCCAIN, JOHN",Republican,193841,326197
2733,Alaska,"OBAMA, BARACK H.",Democrat,123594,326197
2738,Arizona,"MCCAIN, JOHN",Republican,1230111,2293475
2739,Arizona,"OBAMA, BARACK H.",Democrat,1034707,2293475
2744,Arkansas,"MCCAIN, JOHN",Republican,638017,1086617
2745,Arkansas,"OBAMA, BARACK H.",Democrat,422310,1086617
2751,California,"OBAMA, BARACK H.",Democrat,8274473,13561900
2752,California,"MCCAIN, JOHN",Republican,5011781,13561900
2758,Colorado,"OBAMA, BARACK H.",Democrat,1288576,2401361
2759,Colorado,"MCCAIN, JOHN",Republican,1073589,2401361
2774,Connecticut,"OBAMA, BARACK H.",Democrat,997772,1646792
2775,Connecticut,"MCCAIN, JOHN",Republican,629428,1646792
2778,Delaware,"OBAMA, BARACK H.",Democrat,255459,412412
2779,Delaware,"MCCAIN, JOHN",Republican,152374,412412
2785,District of Columbia,"OBAMA, BARACK H.",Democrat,245800,265853
2786,District of Columbia,"MCCAIN, JOHN",Republican,17367,265853
2790,Florida,"OBAMA, BARACK H.",Democrat,4282074,8390744
2791,Florida,"MCCAIN, JOHN",Republican,4045624,8390744
2804,Georgia,"MCCAIN, JOHN",Republican,2048759,3924486
2805,Georgia,"OBAMA, BARACK H.",Democrat,1844123,3924486
2809,Hawaii,"OBAMA, BARACK H.",Democrat,325871,456064
2810,Hawaii,"MCCAIN, JOHN",Republican,120566,456064
2817,Idaho,"MCCAIN, JOHN",Republican,403012,655122
2818,Idaho,"OBAMA, BARACK H.",Democrat,236440,655122
2823,Illinois,"OBAMA, BARACK H.",Democrat,3419348,5522371
2824,Illinois,"MCCAIN, JOHN",Republican,2031179,5522371
2831,Indiana,"OBAMA, BARACK H.",Democrat,1374039,2751054
2832,Indiana,"MCCAIN, JOHN",Republican,1345648,2751054
2836,Iowa,"OBAMA, BARACK H.",Democrat,828940,1537123
2837,Iowa,"MCCAIN, JOHN",Republican,682379,1537123
