,state,candidate,party_simplified,candidatevotes,totalvotes
1674,Alabama,"DOLE, ROBERT",Republican,769044,1534349
1675,Alabama,"CLINTON, BILL",Democrat,662165,1534349
1680,Alaska,"DOLE, ROBERT",Republican,122746,241620
1681,Alaska,"CLINTON, BILL",Democrat,80380,241620
1688,Arizona,"CLINTON, BILL",Democrat,653288,1404405
1689,Arizona,"DOLE, ROBERT",Republican,622073,1404405
1694,Arkansas,"CLINTON, BILL",Democrat,475171,884262
1695,Arkansas,"DOLE, ROBERT",Republican,325416,884262
1707,California,"CLINTON, BILL",Democrat,5119835,10019469
1708,California,"DOLE, ROBERT",Republican,3828381,10019469
1716,Colorado,"DOLE, ROBERT",Republican,691848,1510702
1717,Colorado,"CLINTON, BILL",Democrat,671152,1510702
1729,Connecticut,"CLINTON, BILL",Democrat,735740,1392614
1730,Connecticut,"DOLE, ROBERT",Republican,483109,1392614
1737,Delaware,"CLINTON, BILL",Democrat,140355,270810
1738,Delaware,"DOLE, ROBERT",Republican,99062,270810
1743,District of Columbia,"CLINTON, BILL",Democrat,158220,185726
1744,District of Columbia,"DOLE, ROBERT",Republican,17339,185726
1751,Florida,"CLINTON, BILL",Democrat,2546870,5303154
1752,Florida,"DOLE, ROBERT",Republican,2244536,5303154
1756,Georgia,"DOLE, ROBERT",Republican,1080843,2298899
1757,Georgia,"CLINTON, BILL",Democrat,1053849,2298899
1760,Hawaii,"CLINTON, BILL",Democrat,205012,360120
1761,Hawaii,"DOLE, ROBERT",Republican,113943,360120
1767,Idaho,"DOLE, ROBERT",Republican,256595,491711
1768,Idaho,"CLINTON, BILL",Democrat,165443,491711
1773,Illinois,"CLINTON, BILL",Democrat,2341744,4311391
1774,Illinois,"DOLE, ROBERT",Republican,1587021,4311391
1780,Indiana,"DOLE, ROBERT",Republican,1006693,2135431
1781,Indiana,"CLINTON, BILL",Democrat,887424,2135431
1785,Iowa,"CLINTON, BILL",Democrat,620258,1234075
1786,Iowa,"DOLE, ROBERT",Republican,492644,1234075
1794,Kansas,"DOLE, ROBERT",Republican,583245,1074300
1795,Kansas,"CLINTON, BILL",Democrat,387659,1074300
1800,Kentucky,"CLINTON, BILL",Democrat,636614,1388708
1801,Kentucky,"DOLE, ROBERT",Republican,623283,1388708
1807,Louisiana,"CLINTON, BILL",Democrat,927837,1783959
1808,Louisiana,"DOLE, ROBERT",Republican,712586,1783959
1815,Maine,"CLINTON, BILL",Democrat,312788,605897
1816,Maine,"DOLE, ROBERT",Republican,186378,605897
1823,Maryland,"CLINTON, BILL",Democrat,966207,1780870
1824,Maryland,"DOLE, ROBERT",Republican,681530,1780870
