,state,candidate,party_simplified,candidatevotes,totalvotes
1830,Massachusetts,"CLINTON, BILL",Democrat,1571509,2556459
1831,Massachusetts,"DOLE, ROBERT",Republican,718058,2556459
1838,Michigan,"CLINTON, BILL",Democrat,1989653,3848844
1839,Michigan,"DOLE, ROBERT",Republican,1481212,3848844
1846,Minnesota,"CLINTON, BILL",Democrat,1120380,2192492
1847,Minnesota,"DOLE, ROBERT",Republican,766395,2192492
1858,Mississippi,"DOLE, ROBERT",Republican,439838,893857
1859,Mississippi,"CLINTON, BILL",Democrat,394022,893857
1864,Missouri,"CLINTON, BILL",Democrat,1025935,2158065
1865,Missouri,"DOLE, ROBERT",Republican,890016,2158065
1871,Montana,"DOLE, ROBERT",Republican,179652,407083
1872,Montana,"CLINTON, BILL",Democrat,167922,407083
1876,Nebraska,"DOLE, ROBERT",Republican,363467,677415
1877,Nebraska,"CLINTON, BILL",Democrat,236761,677415
1882,Nevada,"CLINTON, BILL",Democrat,203974,464279
1883,Nevada,"DOLE, ROBERT",Republican,199244,464279
1890,New Hampshire,"CLINTON, BILL",Democrat,246166,496597
1891,New Hampshire,"DOLE, ROBERT",Republican,196486,496597
1895,New Jersey,"CLINTON, BILL",Democrat,1652361,3075860
1896,New Jersey,"DOLE, ROBERT",Republican,1103099,3075860
1898,New Mexico,"CLINTON, BILL",Democrat,273495,556074
1899,New Mexico,"DOLE, ROBERT",Republican,232751,556074
1905,New York,"CLINTON, BILL",Democrat,3649630,6439129
1906,New York,"DOLE, ROBERT",Republican,1738707,6439129
1918,North Carolina,"DOLE, ROBERT",Republican,1225938,2515807
1919,North Carolina,"CLINTON, BILL",Democrat,1107849,2515807
1924,North Dakota,"DOLE, ROBERT",Republican,125050,266411
1925,North Dakota,"CLINTON, BILL",Democrat,106905,266411
1930,Ohio,"CLINTON, BILL",Democrat,2148222,4534434
1931,Ohio,"DOLE, ROBERT",Republican,1859883,4534434
1939,Oklahoma,"DOLE, ROBERT",Republican,582315,1206713
1940,Oklahoma,"CLINTON, BILL",Democrat,488105,1206713
1943,Oregon,"CLINTON, BILL",Democrat,649641,1377760
1944,Oregon,"DOLE, ROBERT",Republican,538152,1377760
1952,Pennsylvania,"CLINTON, BILL",Democrat,2215819,4501307
1953,Pennsylvania,"DOLE, ROBERT",Republican,1801169,4501307
1958,Rhode Island,"CLINTON, BILL",Democrat,233050,390247
1959,Rhode Island,"DOLE, ROBERT",Republican,104683,390247
1966,South Carolina,"DOLE, ROBERT",Republican,573339,1150182
1967,South Carolina,"CLINTON, BILL",Democrat,506152,1150182
1972,South Dakota,"DOLE, ROBERT",Republican,150543,323826
1973,South Dakota,"CLINTON, BILL",Democrat,139333,323826
1976,Tennessee,"CLINTON, BILL",Democrat,909146,1894105
1977,Tennessee,"DOLE, ROBERT",Republican,863530,1894105
1980,Texas,"DOLE, ROBERT",Republican,2736167,5611644
1981,Texas,"CLINTON, BILL",Democrat,2459683,5611644
1987,Utah,"DOLE, ROBERT",Republican,361911,665629
1988,Utah,"CLINTON, BILL",Democrat,221633,665629
2000,Vermont,"CLINTON, BILL",Democrat,137894,258449
2001,Vermont,"DOLE, ROBERT",Republican,80352,258449
2011,Virginia,"DOLE, ROBERT",Republican,1138350,2416642
2012,Virginia,"CLINTON, BILL",Democrat,1091060,2416642
2017,Washington,"CLINTON, BILL",Democrat,1123323,2253837
2018,Washington,"DOLE, ROBERT",Republican,840712,2253837
2026,West Virginia,"CLINTON, BILL",Democrat,327812,636459
2027,West Virginia,"DOLE, ROBERT",Republican,233946,636459
2030,Wisconsin,"CLINTON, BILL",Democrat,1071971,2196169
2031,Wisconsin,"DOLE, ROBERT",Republican,845029,2196169
2037,Wyoming,"DOLE, ROBERT",Republican,105388,211571
2038,Wyoming,"CLINTON, BILL",Democrat,77934,211571
